,en,vi
0,"i asked for money for food, aunt asked for money for the house.","cháu đòi tiền cơm , dì đòi tiền nhà ."
1,da nang researches texting utility when violating vehicle owners.,đà nẵng nghiên_cứu tiện_ích nhắn_tin khi vi_phạm đến chủ phương_tiện .
2,confused about 70-year-old mother stealing daughter's car.,khó xử vụ mẹ 70 tuổi trộm xe_hơi của con_gái .
3,changes in vehicle registration and transfer from 12/2 you need to know.,"thay_đổi về đăng_ký , chuyển_nhượng xe từ 12/2 bạn cần biết ."
4,cases requiring expertise in economic cases.,những trường_hợp cần trưng_cầu giám_định trong vụ_án kinh_tế .
5,the town of ollolai in italy sells homes for more than $1 to attract residents.,thị_trấn ollolai ở italia bán nhà với giá hơn 1 usd để thu_hút cư_dân .
6,the regulation on selling and donating cars must be reported to the police.,"bỏ quy_định bán , tặng xe ô_tô phải thông_báo với công_an ."
7,"from february 12, 2018: the seller or donor of a car does not have to notify the police.","từ 12/2/2018 : người bán , tặng xe ô_tô không phải thông_báo với công_an ."
8,"the bitter ending after 20 years of marriage is the declaration of a bad husband: wouldisbanded, i will get another wife'.","cái kết đắng_chát sau 20 năm đám_cưới là lời tuyên_bố của chồng tệ_bạc : ' giải_tán đi , tôi lấy vợ khác ' ."
9,selling or giving a car is not required to notify the police from february 12.,"bán , tặng xe không phải thông_báo với cơ_quan công_an từ ngày 12/2 ."
10,"the story is like a joke: the town sells hundreds of houses for just over 20,000 vnd.",chuyện thật như đùa : thị_trấn rao bán hàng trăm căn nhà với giá chỉ hơn 20.000 đồng .
11,a series of new policies on preschool children and social insurance took effect in february 2018.,"hàng_loạt chính_sách mới về trẻ mầm_non , bảo_hiểm xã_hội có hiệu_lực trong tháng 02/2018 ."
12,the italian beach town sells houses for 1 usd.,thị_trấn biển italia giao bán nhà với giá 1 usd .
13,what new regulations take effect from february 2018?.,những quy_định mới nào có hiệu_lực từ tháng 2/2018 ? .
14,these extremely important policies took effect from february 2018.,những chính_sách vô_cùng quan_trọng có hiệu_lực từ tháng 2/2018 .
15,from 12/2: selling cars without having to notify the police.,từ 12/2 : bán ô_tô không phải thông_báo với công_an .
16,"xuan hoa interior and question mark about the 24,000 m2 golden land at cau dien.",nội_thất xuân_hòa và dấu_hỏi về khu đất vàng 24.000_m2 tại cầu_diễn .
17,the outstanding policies officially took effect from february 2018.,những chính_sách nổi_bật chính_thức có hiệu_lực từ tháng 2/2018 .
18,the outstanding policies took effect from february 2018.,những chính_sách nổi_bật có hiệu_lực từ tháng 2/2018 .
19,failure to transfer the name when transferring land will be fined.,không sang_tên khi chuyển_nhượng đất sẽ bị phạt .
20,procedures for transferring house ownership.,thủ_tục sang tên quyền_sở_hữu nhà ở .
21,what is the solution to help people avoid prolonged and over-leveled lawsuits about land?,"giải_pháp nào giúp người dân tránh khiếu_kiện kéo_dài , vượt_cấp về đất_đai ? ."
22,nam tu liem - hanoi: it is necessary to clarify the prevention of issuance of lurcs.,nam từ liêm - hà_nội : cần làm rõ việc ngăn_chặn cấp gcnqsdđ .
23,"from 12/02/2018, selling motorbikes is not required to notify the police.","từ 12/02/2018 , bán xe_máy không phải thông_báo với công_an ."
24,pilot operation of ha long - mong duong bot toll collection.,vận_hành thử_nghiệm thu phí bot hạ long - mông dương .
25,the court was blown away for the wrong application of the law.,tòa bị tuýt còi vì áp_dụng luật sai .
26,bot highway 18 is free during the lunar new year.,bot quốc_lộ 18 miễn_phí trong dịp tết_nguyên_đán .
27,test operation of highway 18 toll station ha long - mong duong section.,vận_hành thử_nghiệm trạm thu giá quốc_lộ 18 đoạn hạ long - mông dương .
28,test operation of the national highway 18 toll station ha long - mong duong section.,vận_hành thử_nghiệm trạm thu giá ql18 đoạn hạ long - mông dương .
29,lam ha - lam dong: mistakes in property auction have not been resolved.,lâm hà - lâm đồng : sai_phạm trong đấu_giá tài_sản chưa giải_quyết .
30,use change to dip in water to buy tickets for bot can tho phung hiep.,dùng tiền_lẻ nhúng nước để mua vé bot cần_thơ phụng hiệp .
31,soc trang: denied mr. dinh's complaint.,sóc_trăng : bác đơn khiếu_nại của ông đình .
32,ho chi minh city: buying a house for 12 years has not yet been transferred to the name.,tphcm : mua nhà 12 năm vẫn chưa được sang_tên .
33,strong answers if husband's mistress says 'i give you him'.,những câu đáp trả đanh_thép nếu bồ_nhí của chồng nói ' chị nhường chồng cho em ' .
34,is it true that an officer 'borrows' a car from an enterprise?,thực_hư chuyện một cán_bộ ' mượn ' xe của doanh_nghiệp ? .
35,the general department of civil judgment execution requested clarification of information reported by the people's police newspaper.,tổng_cục thi_hành án dân_sự yêu_cầu làm rõ thông_tin phản_ánh của báo cand .
36,"paying all the money, why have not the bank paid the red book yet?.",trả hết tiền mà sao chưa được ngân_hàng trả sổ_đỏ ? .
37,bought a house at auction for nearly 2 years and has not lived in it.,mua nhà đấu_giá gần 2 năm chưa được ở .
